Location,Variant,first_seq,num_seqs
China,Alpha,1/17/2021,21
China,Beta,12/31/2020,5
China,Gamma,4/17/2021,2
China,Delta,4/21/2021,334
China,Delta,5/14/2021,465
China,Delta,4/22/2021,523
China,Omicron,12/8/2021,50
China,Omicron,12/27/2021,245
China,Omicron,12/8/2021,295
China,Omicron,12/8/2021,1238
China,Omicron,7/1/2022,4
China,Omicron,7/1/2022,764
China,Omicron,5/31/2022,2
China,Omicron,7/7/2022,36
China,Omicron,11/3/2022,113
China,Omicron,7/1/2022,877
China,Omicron,11/24/2022,24
China,Omicron,5/31/2022,890
China,Omicron,11/23/2022,2
China,Omicron,1/17/2021,1213
China,Omicron,1/15/2021,13
China,Omicron,1/17/2021,938
China,Omicron,1/15/2022,4
China,Omicron,12/8/2021,1240
China,Omicron,8/10/2022,3
China,Omicron,12/31/2020,4
China,Omicron,2/18/2020,136
China,Omicron,12/31/2020,1232
China,Omicron,1/26/2020,1230
China,Omicron,1/17/2021,2583
China,Omicron,12/31/2020,1211
China,Omicron,1/15/2022,1
China,Omicron,12/4/2021,2
China,Omicron,5/14/2021,465
China,Omicron,12/11/2022,1
